node1,node2,weight
7,68,0.65
272,7,0.6
7,202,0.7
7,296,0.7
7,293,0.6
7,142,0.65
7,243,0.7
7,175,0.6
7,6,0.65
7,188,0.55
132,7,1.0
222,7,0.6
122,7,0.55
144,7,0.55
21,7,0.75
33,7,0.6
7,109,0.55
7,272,0.6
64,272,0.55
221,272,0.55
7,254,0.55
283,7,1.0
206,7,0.6
240,7,0.7
5,7,0.55
134,7,0.65
202,7,0.75
7,108,0.55
7,206,0.6
7,280,0.6
171,7,0.7
68,7,0.6
6,5,0.6
1,5,0.7
7,5,0.55
68,1,0.6
7,33,0.6
7,219,0.55
7,1,0.85
7,29,0.6
7,21,0.75
7,72,0.6
7,283,0.65
68,97,0.55
144,1,0.75
144,283,0.55
144,143,0.55
144,110,0.55
144,132,0.55
144,181,0.55
68,64,0.55
156,7,0.55
296,7,0.75
108,7,0.55
153,7,0.55
68,41,0.55
7,110,0.65
7,222,0.65
7,141,0.6
212,7,0.55
249,7,0.75
111,7,0.55
210,7,0.55
207,7,0.6
88,7,0.65
159,7,0.7
36,7,0.7
5,6,0.65
5,1,0.65
254,7,0.55
7,144,0.55
7,3,0.8
7,125,0.65
7,260,0.7
7,171,0.7
294,7,0.55
35,7,0.6
209,7,0.55
198,7,0.65
100,7,0.7
6,7,0.75
141,7,0.65
56,7,0.65
1,68,0.6
53,7,0.7
184,7,0.6
113,7,0.9
64,68,0.55
13,29,0.6
219,29,0.55
256,29,0.55
212,29,0.55
135,29,0.55
270,29,0.55
97,68,0.55
41,68,0.55
7,137,0.55
7,240,0.6
7,285,0.55
7,204,0.55
7,134,0.65
7,232,0.65
7,159,0.55
60,159,0.6
269,3,0.55
96,184,0.55
7,184,0.6
4,3,0.85
21,3,0.85
17,3,0.75
115,3,0.0
217,3,0.75
270,184,0.55
10,3,0.85
1,3,0.8
64,3,0.55
219,239,0.55
7,64,0.75
139,1,0.6
19,64,0.65
80,64,0.55
104,64,0.75
249,64,0.55
166,64,0.55
261,1,0.55
7,53,0.7
7,228,0.55
7,113,0.75
34,1,0.55
78,7,0.55
204,7,0.55
39,7,0.65
119,1,1.0
100,1,0.65
167,64,0.55
1,64,0.65
238,64,0.55
100,64,0.55
221,64,0.55
272,64,0.55
57,1,0.85
64,100,0.55
64,104,1.0
64,186,0.55
64,41,0.55
64,80,0.55
64,219,0.55
10,1,0.9
7,35,0.6
7,23,0.7
7,54,0.75
7,96,0.55
7,39,0.75
7,41,0.75
4,1,1.0
51,96,0.6
13,96,0.55
104,96,0.55
112,96,0.55
107,96,0.6
93,96,0.6
134,1,0.55
251,1,0.75
33,1,0.9
227,1,0.55
74,1,0.55
215,1,0.55
7,210,0.55
141,1,0.6
219,7,0.6
80,7,0.55
7,4,0.7
204,274,0.55
204,186,0.6
204,62,0.75
204,80,0.55
204,202,0.6
204,293,0.55
64,142,0.55
64,7,0.65
64,112,0.6
39,45,0.55
39,17,0.65
39,245,0.9
39,1,0.9
39,167,0.9
39,223,0.9
39,114,0.55
39,143,0.6
7,111,0.55
202,33,0.55
41,110,0.55
41,167,0.55
41,140,0.55
41,147,0.55
41,64,0.55
41,36,0.6
215,33,0.55
132,100,0.55
202,100,0.55
111,100,0.55
60,100,0.6
7,100,0.6
51,33,0.55
272,221,0.55
57,33,0.55
44,39,0.55
17,39,0.55
167,39,0.9
298,39,0.65
21,39,0.6
2,39,0.9
35,33,0.65
2,204,0.45
135,204,0.4
257,204,0.7
293,204,0.55
274,204,0.55
80,204,0.55
1,33,0.85
2,3,0.9
7,269,0.55
139,202,0.55
139,132,0.55
23,1,0.85
13,1,0.9
47,1,0.6
266,1,0.6
141,41,0.55
86,41,0.55
104,41,0.55
202,41,0.65
147,41,0.55
157,41,0.55
7,155,0.7
17,7,0.7
270,7,0.7
228,7,0.55
60,7,0.85
96,7,0.6
137,7,0.55
161,7,0.65
110,155,0.55
23,7,0.75
7,19,0.75
7,152,0.6
7,89,0.6
7,36,0.65
7,17,0.8
13,7,0.55
155,110,0.55
155,7,0.75
7,76,0.55
114,1,0.6
228,293,0.55
228,57,0.8
228,60,0.6
225,1,0.55
116,7,0.6
19,7,0.95
75,7,0.65
243,7,0.85
254,296,0.6
254,60,0.65
254,17,0.6
110,1,0.55
34,7,0.55
241,1,0.9
110,7,0.55
57,7,0.9
109,7,0.55
271,1,0.55
7,80,0.65
7,135,0.6
7,34,0.55
188,7,0.55
7,122,0.55
7,56,0.65
7,215,0.75
7,153,0.6
7,116,0.6
195,7,0.55
1,7,0.95
125,7,0.7
29,7,0.6
54,7,0.8
2,7,0.75
133,7,0.55
142,7,0.7
266,7,0.7
28,7,0.55
7,133,0.55
125,108,0.55
125,113,0.6
125,4,0.6
125,171,0.55
125,1,0.75
125,77,0.6
7,266,0.6
