node1,node2,weight
1,64,0.65
10,1,0.9
78,1,0.55
21,1,0.9
4,1,1.0
76,1,0.6
60,1,0.85
75,1,0.6
36,1,0.7
64,80,0.55
64,1,0.65
64,3,0.55
64,68,0.55
64,57,0.65
64,41,0.55
17,1,0.95
8,1,0.65
64,7,0.65
71,1,0.9
68,64,0.55
57,64,0.75
7,64,0.75
41,64,0.55
19,64,0.65
80,64,0.55
47,1,0.6
1,47,0.65
57,1,0.85
54,1,0.55
31,1,0.65
6,1,0.9
74,1,0.55
1,19,0.8
1,81,0.55
1,31,0.6
1,4,1.0
1,17,0.95
1,80,0.6
1,6,0.9
1,10,0.85
1,13,0.65
57,25,0.6
57,4,0.6
57,7,0.9
57,33,0.55
1,57,0.8
1,71,0.55
6,32,0.55
1,7,0.95
1,61,0.75
21,10,0.9
21,8,0.95
21,60,0.75
21,3,0.85
21,7,0.75
1,33,0.85
1,2,0.9
1,76,0.6
47,7,0.55
1,20,0.6
33,1,0.9
13,1,0.9
77,1,0.65
55,7,0.55
4,2,0.8
4,13,0.9
7,55,0.55
4,57,0.75
51,1,0.55
2,1,0.9
32,1,0.55
81,1,0.55
34,1,0.55
4,19,0.8
7,57,0.7
33,57,0.55
4,39,0.55
4,6,0.75
21,39,0.6
21,36,0.6
21,77,0.75
15,70,0.55
7,68,0.65
1,9,0.6
1,36,0.65
1,51,0.55
1,54,0.55
41,68,0.55
21,2,0.75
1,68,0.6
